location,price,area,bedroom
4 BHK Residential Apartment in Sector-75 Noida,"₹ 1.33 Cr₹ 5,900/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-79 Noida,"₹ 1.19  - 1.3 Cr₹ 6,900/sq.ft.","1,730-1,880 sq.ft. (161-175 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Greater Noida West,"₹ 68.45 Lac - 1.06 Cr₹ 5,000/sq.ft.","1,369-2,115 sq.ft. (127-196 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-75 Noida,"₹ 86.71 Lac - 1.19 Cr₹ 5,800/sq.ft.","1,495-2,050 sq.ft. (139-190 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-75 Noida,"₹ 75.98 Lac₹ 5,800/sq.ft.","1,310 sq.ft. (122 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-118 Noida,"₹ 53.65  - 61.49 Lac₹ 4,900/sq.ft.","1,095-1,255 sq.ft. (102-117 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-118 Noida,"₹ 72.28  - 97.75 Lac₹ 4,900/sq.ft.","1,475-1,995 sq.ft. (137-185 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-78 Noida,"₹ 1.39 Cr₹ 5,200/sq.ft.","2,680 sq.ft. (249 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.6 Cr₹ 8,527/sq.ft.","3,600 sq.ft. (334 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Independent Builder Floor in A Block Sushant Lok Phase - I,"₹ 3.75 Cr₹ 8,393/sq.ft.","3,753 sq.ft. (349 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in B Block Sushant Lok Phase - I,"₹ 3.22 Cr₹ 8,559/sq.ft.","3,762 sq.ft. (350 sq.m.) Super built-up Area",4 BHK4 Baths
5 Bedroom Independent House in DLF CITY PHASE 4,"₹ 7.5 Cr₹ 18,930/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",5 BHK5 Baths
5 Bedroom Independent House in DLF CITY PHASE 4,"₹ 7.5 Cr₹ 18,930/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",5 BHK5 Baths
3 BHK Residential Apartment in New Friends Colony,"₹ 3.5 Cr₹ 17,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 1.05 Cr₹ 2,536/sq.ft.","4,140 sq.ft. (385 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 77.5 Lac₹ 3,351/sq.ft.","2,313 sq.ft. (215 sq.m.) Carpet Area",4 BHK3 Baths
4 BHK Independent Builder Floor in Sector-82 Gurgaon,"₹ 1.5 Cr₹ 4,166/sq.ft.","3,600 sq.ft. (334 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Greenwood City,"₹ 2.5 Cr₹ 12,886/sq.ft.","1,940 sq.ft. (180 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Green Park,"₹ 5.15 Cr₹ 19,074/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sushant Lok Phase - 2,"₹ 1.7 Cr₹ 9,539/sq.ft.","1,782 sq.ft. (166 sq.m.) Built-up Area",3 BHK4 Baths
4 BHK Independent Builder Floor in South City 2,"₹ 2.49 Cr₹ 5,472/sq.ft.","4,550 sq.ft. (423 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 2.55 Cr₹ 10,493/sq.ft.","2,430 sq.ft. (226 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Independent Builder Floor in Sector-48 Gurgaon,"₹ 1.89 Cr₹ 5,833/sq.ft.","3,240 sq.ft. (301 sq.m.) Super built-up Area",4 BHK4 Baths
Residential land / Plot in Sohna,"₹ 35.38 Lac₹ 3,222/sq.ft.","1,098 sq.ft. (102 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Dlf phase 1,"₹ 2.5 Cr₹ 10,101/sq.ft.","2,475 sq.ft. (230 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 4,"₹ 3.25 Cr₹ 9,027/sq.ft.","3,600 sq.ft. (334 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Shanti Kunj,"₹ 1.75 Cr₹ 6,800/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Kishangarh Village,"₹ 79.9 Lac₹ 6,146/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 2.23 Cr₹ 7,958/sq.ft.","2,802 sq.ft. (260 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 2.17 Cr₹ 7,744/sq.ft.","2,802 sq.ft. (260 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 2.81 Cr₹ 7,543/sq.ft.","3,725 sq.ft. (346 sq.m.) Super built-up Area",3 BHK5 Baths
3 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 2.75 Cr₹ 7,307/sq.ft.","3,763 sq.ft. (350 sq.m.) Super built-up Area",3 BHK5 Baths
2 BHK Independent Builder Floor in Shahberi,"₹ 22 Lac₹ 3,492/sq.ft.",630 sq.ft. (59 sq.m.) Carpet Area,2 BHK1 Bath
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 72 Lac₹ 3,130/sq.ft.","2,300 sq.ft. (214 sq.m.) Super built-up Area",4 BHK3 Baths
4 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 3.8 Cr₹ 8,018/sq.ft.","4,739 sq.ft. (440 sq.m.) Super built-up Area",4 BHK6 Baths
5 Bedroom Independent House in Jaypee Greens,"₹ 18 Cr₹ 20,000/sq.ft.","9,000 sq.ft. (836 sq.m.) Plot Area",5 BHK6 Baths
Residential land / Plot in Jaypee Greens,"₹ 4.25 Cr₹ 15,741/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-56 Gurgaon,"₹ 1.15 Cr₹ 5,897/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-56 Gurgaon,"₹ 1.15 Cr₹ 5,897/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector 82 Faridabad,"₹ 62.01  - 83 Lac₹ 4,429/sq.ft.","1,400-1,874 sq.ft. (130-174 sq.m.) Super built-up Area",3 BHK
1 BHK Residential Apartment in Sector-137 Noida,"₹ 24.08 Lac₹ 5,350/sq.ft.",450 sq.ft. (42 sq.m.) Super built-up Area,1 BHK
2 BHK Residential Apartment in Sector-37D Gurgaon,Price on Request,"1,000-1,079 sq.ft. (93-100 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Nyay Khand 2,"₹ 80 Lac₹ 4,324/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",3 BHK2 Baths
2 Bedroom Independent House in Najafgarh,"₹ 21 Lac₹ 4,666/sq.ft.",450 sq.ft. (42 sq.m.) Plot Area,2 BHK1 Bath
2 BHK Independent Builder Floor in West Patel Nagar,"₹ 1.2 Cr₹ 13,333/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Residential Apartment in Sector-48 Gurgaon,"₹ 1.76  - 2.35 Cr₹ 14,000/sq.ft.","1,255-1,676 sq.ft. (117-156 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-48 Gurgaon,"₹ 2.38  - 4.85 Cr₹ 14,000/sq.ft.","1,700-3,464 sq.ft. (158-322 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-48 Gurgaon,"₹ 5.32  - 6.46 Cr₹ 14,000/sq.ft.","3,800-4,615 sq.ft. (353-429 sq.m.) Super built-up Area",4 BHK
5 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 5.84  - 6.9 Cr₹ 10,500/sq.ft.","5,560-6,574 sq.ft. (517-611 sq.m.) Super built-up Area",5 BHK
4 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 4.3  - 12.22 Cr₹ 10,500/sq.ft.","4,096-11,635 sq.ft. (381-1081 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 2.99  - 6.36 Cr₹ 10,500/sq.ft.","2,850-6,060 sq.ft. (265-563 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 4.1  - 5.88 Cr₹ 16,000/sq.ft.","2,560-3,675 sq.ft. (238-341 sq.m.) Super built-up Area",3 BHK5 Baths
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 5.84  - 9.56 Cr₹ 16,000/sq.ft.","3,650-5,975 sq.ft. (339-555 sq.m.) Super built-up Area",4 BHK
5 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 6.92  - 9.84 Cr₹ 16,000/sq.ft.","4,325-6,150 sq.ft. (402-571 sq.m.) Super built-up Area",5 BHK7 Baths
2 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 2.98 Cr₹ 15,000/sq.ft.","1,985 sq.ft. (184 sq.m.) Super built-up Area",2 BHK
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 3.83  - 4.08 Cr₹ 15,000/sq.ft.","2,550-2,721 sq.ft. (237-253 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 2.81  - 3.49 Cr₹ 15,000/sq.ft.","1,875-2,329 sq.ft. (174-216 sq.m.) Super built-up Area",3 BHK4 Baths
5 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 11.68  - 11.82 Cr₹ 19,000/sq.ft.","6,147-6,221 sq.ft. (571-578 sq.m.) Super built-up Area",5 BHK
3 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 5.04  - 6.68 Cr₹ 19,000/sq.ft.","2,651-3,518 sq.ft. (246-327 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 5.85  - 9.44 Cr₹ 19,000/sq.ft.","3,081-4,969 sq.ft. (286-462 sq.m.) Super built-up Area",4 BHK6 Baths
4 BHK Residential Apartment in MG Road,"₹ 4  - 5.46 Cr₹ 12,700/sq.ft.","3,150-4,300 sq.ft. (293-399 sq.m.) Super built-up Area",4 BHK6 Baths
2 BHK Residential Apartment in MG Road,"₹ 2.92 Cr₹ 12,700/sq.ft.","2,300 sq.ft. (214 sq.m.) Super built-up Area",2 BHK3 Baths
3 BHK Independent Builder Floor in Sector-51 Gurgaon,"₹ 1.24 Cr₹ 7,085/sq.ft.","1,750 sq.ft. (163 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector 86 Faridabad,"₹ 37.9 Lac₹ 3,253/sq.ft.","1,165 sq.ft. (108 sq.m.) Super built-up Area",2 BHK
2 BHK Residential Apartment in Sector 86 Faridabad,"₹ 37.9 Lac₹ 3,253/sq.ft.","1,165 sq.ft. (108 sq.m.) Super built-up Area",2 BHK
3 BHK Residential Apartment in Sector Pi- 1 Gr Noida,"₹ 70 Lac₹ 3,805/sq.ft.","1,840 sq.ft. (171 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Sector-43 Gurgaon,"₹ 2.76 Cr₹ 18,960/sq.ft.","1,453 sq.ft. (135 sq.m.) Plot Area",
Residential land / Plot in BPTP,"₹ 89.9 Lac₹ 3,996/sq.ft.","2,250 sq.ft. (209 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Mahendra Enclave,"₹ 26 Lac₹ 3,468/sq.ft.",807 sq.ft. (75 sq.m.) Built-up Area,3 BHK2 Baths
2 BHK Residential Apartment in I P Extension,"₹ 85 Lac₹ 10,494/sq.ft.",810 sq.ft. (75 sq.m.) Super built-up Area,2 BHK2 Baths
4 BHK Independent Builder Floor in South City 1,"₹ 2.3 Cr₹ 10,952/sq.ft.","2,100 sq.ft. (195 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-102 Gurgaon,"₹ 1.2 Cr₹ 5,583/sq.ft.","2,149 sq.ft. (200 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector 86 Faridabad,"₹ 26.33 Lac₹ 3,246/sq.ft.",811 sq.ft. (75 sq.m.) Carpet Area,3 BHK2 Baths
Residential land / Plot in Sector-66 Gurgaon,"₹ 8.41 Lac₹ 1,611/sq.ft.",522 sq.ft. (49 sq.m.) Plot Area,
3 BHK Residential Apartment in Sector-1 Imt Manesar,"₹ 65 Lac₹ 3,901/sq.ft.","1,666 sq.ft. (155 sq.m.) Carpet Area",3 BHK2 Baths
2 BHK Residential Apartment in Sector 84 Faridabad,"₹ 53 Lac₹ 4,076/sq.ft.","1,300 sq.ft. (121 sq.m.) Carpet Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-137 Noida,"₹ 43.51 Lac₹ 3,641/sq.ft.","1,195 sq.ft. (111 sq.m.) Super built-up Area",2 BHK2 Baths
Residential land / Plot in Residential Plots in Gurgaon,"₹ 3.09 Cr₹ 13,073/sq.ft.","2,367 sq.ft. (220 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Sector 75 Faridabad,"₹ 70 Lac₹ 2,840/sq.ft.","2,288 sq.ft. (213 sq.m.) Super built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Ram Prastha Colony,"₹ 32.5 Lac₹ 5,023/sq.ft.",677 sq.ft. (63 sq.m.) Super built-up Area,2 BHK2 Baths
1 BHK Independent Builder Floor in Malviya Nagar,"₹ 18 Lac₹ 3,600/sq.ft.",500 sq.ft. (46 sq.m.) Carpet Area,1 BHK1 Bath
Residential land / Plot in Indraprastha Yojna,"₹ 60 Lac₹ 4,521/sq.ft.","1,327 sq.ft. (123 sq.m.) Plot Area",
2 BHK Residential Apartment in Kishangarh Village,"₹ 39.5 Lac₹ 4,937/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Bangali Colony,"₹ 56 Lac₹ 6,021/sq.ft.",930 sq.ft. (86 sq.m.) Super built-up Area,3 BHK2 Baths
2 BHK Residential Apartment in Sector-100 Noida,"₹ 77.8 Lac₹ 5,496/sq.ft.","1,343 sq.ft. (125 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Surya Vihar,"₹ 70.6 Lac₹ 6,247/sq.ft.","1,130 sq.ft. (105 sq.m.) Carpet Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-83 Gurgaon,"₹ 78.5 Lac₹ 3,651/sq.ft.","2,150 sq.ft. (200 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Nirvana Country,"₹ 1.49 Cr₹ 7,268/sq.ft.","2,050 sq.ft. (190 sq.m.) Super built-up Area",3 BHK4 Baths
9 Bedroom Independent House in B Block Sushant Lok Phase - I,"₹ 5.5 Cr₹ 20,370/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",9 BHK6 Baths
1 Bedroom Farm house in Sohna,₹ 1.41 Cr₹ 324/sq.ft.,"43,560 sq.ft. (4047 sq.m.) Plot Area",1 BHK1 Bath
1 Bedroom Farm house in Sohna,₹ 1.41 Cr₹ 324/sq.ft.,"43,560 sq.ft. (4047 sq.m.) Plot Area",1 BHK1 Bath
3 BHK Independent Builder Floor in East of Kailash,"₹ 2.75 Cr₹ 15,277/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Residential Apartment in NH-24 Highway,"₹ 41.7  - 60.44 Lac₹ 3,022/sq.ft.","1,380-2,000 sq.ft. (128-186 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-168 Noida,"₹ 1.35 Cr₹ 5,458/sq.ft.","2,473 sq.ft. (230 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-168 Noida,"₹ 77.7  - 95.7 Lac₹ 5,000/sq.ft.","1,554-1,914 sq.ft. (144-178 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-168 Noida,"₹ 54.25 Lac₹ 5,000/sq.ft.","1,085 sq.ft. (101 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Independent Builder Floor in Defence Colony,"₹ 7 Cr₹ 23,932/sq.ft.","2,925 sq.ft. (272 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Safdarjung,"₹ 3.26 Cr₹ 18,083/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Gulmohar park,"₹ 4.5 Cr₹ 25,000/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in South Extension II,"₹ 3.51 Cr₹ 19,500/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Panchsheel Enclave,"₹ 4.65 Cr₹ 19,872/sq.ft.","2,340 sq.ft. (217 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Greater Kailash II,"₹ 4.9 Cr₹ 21,778/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Panchsheel Park,"₹ 9.21 Cr₹ 20,467/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Green Park,"₹ 3.31 Cr₹ 18,389/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Hauz Khas,"₹ 3 Cr₹ 16,667/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Palam Vihar,"₹ 2.4 Cr₹ 5,128/sq.ft.","4,680 sq.ft. (435 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-48 Gurgaon,"₹ 1.75 Cr₹ 8,333/sq.ft.","2,100 sq.ft. (195 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 3,"₹ 2.55 Cr₹ 9,444/sq.ft.","2,700 sq.ft. (251 sq.m.) Built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Indirapuram,"₹ 2.1 Cr₹ 8,860/sq.ft.","2,370 sq.ft. (220 sq.m.) Super built-up Area",4 BHK4 Baths
6 Bedroom Independent House in DLF CITY PHASE 2,"₹ 10 Cr₹ 27,708/sq.ft.","3,609 sq.ft. (335 sq.m.) Plot Area",6 BHK5 Baths
3 BHK Independent Builder Floor in Indirapuram,"₹ 53 Lac₹ 5,471/sq.ft.",968 sq.ft. (90 sq.m.) Super built-up Area,3 BHK2 Baths
2 BHK Residential Apartment in vasant kunj,"₹ 55 Lac₹ 5,000/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Vaibhav Khand,"₹ 75 Lac₹ 3,947/sq.ft.","1,900 sq.ft. (177 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Independent Builder Floor in Sector-57 Gurgaon,"₹ 1.22 Cr₹ 8,413/sq.ft.","1,450 sq.ft. (135 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in B Block Sushant Lok Phase - I,"₹ 2.45 Cr₹ 7,903/sq.ft.","3,100 sq.ft. (288 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-109 Gurgaon,"₹ 1.36 Cr₹ 6,634/sq.ft.","2,050 sq.ft. (190 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector-109 Gurgaon,"₹ 1.36 Cr₹ 6,634/sq.ft.","2,050 sq.ft. (190 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector-A Vasant Kunj,"₹ 79.6 Lac₹ 6,124/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Chattarpur,"₹ 58 Lac₹ 4,296/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK2 Baths
1 BHK Independent Builder Floor in KHANPUR,"₹ 11 Lac₹ 2,000/sq.ft.",550 sq.ft. (51 sq.m.) Carpet Area,1 BHK1 Bath
4 BHK Residential Apartment in Sector-56 Gurgaon,"₹ 1.25 Cr₹ 5,208/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",4 BHK3 Baths
2 BHK Independent Builder Floor in Rama Park,"₹ 32 Lac₹ 5,333/sq.ft.",600 sq.ft. (56 sq.m.) Carpet Area,2 BHK2 Baths
3 BHK Residential Apartment in Mayur Vihar - II,"₹ 2.1 Cr₹ 14,000/sq.ft.","1,500 sq.ft. (139 sq.m.) Built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Sector-68 Gurgaon,Price on Request,"1,260-1,304 sq.ft. (117-121 sq.m.) Super built-up Area",2 BHK2 Baths
Residential land / Plot in Sector-92 Noida,"₹ 2.05 Cr₹ 7,618/sq.ft.","2,690 sq.ft. (250 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 44.82  - 53.22 Lac₹ 3,000/sq.ft.","1,494-1,774 sq.ft. (139-165 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 68.74  - 72.3 Lac₹ 3,250/sq.ft.","2,148-2,191 sq.ft. (200-204 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Greater Noida West,"₹ 88.8 Lac₹ 4,000/sq.ft.","2,220 sq.ft. (206 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Greater Noida West,"₹ 47.4  - 58 Lac₹ 4,000/sq.ft.","1,185-1,450 sq.ft. (110-135 sq.m.) Super built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Greater Noida West,"₹ 43  - 54 Lac₹ 4,000/sq.ft.","1,075-1,350 sq.ft. (100-125 sq.m.) Super built-up Area",2 BHK2 Baths
5 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 7.2  - 7.43 Cr₹ 13,500/sq.ft.","5,330-5,500 sq.ft. (495-511 sq.m.) Super built-up Area",5 BHK
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 6.07  - 6.27 Cr₹ 13,500/sq.ft.","4,495-4,645 sq.ft. (418-432 sq.m.) Super built-up Area",4 BHK
2 BHK Residential Apartment in Crossing Republik,"₹ 27.4 Lac₹ 2,490/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-82 Gurgaon,"₹ 1.1 Cr₹ 4,477/sq.ft.","2,535 sq.ft. (236 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Heritage City,"₹ 2.15 Cr₹ 11,622/sq.ft.","2,150 sq.ft. (200 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in C R Park,"₹ 3.7 Cr₹ 17,644/sq.ft.","2,097 sq.ft. (195 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Greenfield Colony,"₹ 72.3 Lac₹ 3,994/sq.ft.","1,810 sq.ft. (168 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in BPTP,"₹ 95 Lac₹ 3,309/sq.ft.","2,871 sq.ft. (267 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sushant Lok Phase - 1,"₹ 1.85 Cr₹ 13,214/sq.ft.","1,400 sq.ft. (130 sq.m.) Carpet Area",3 BHK3 Baths
Residential land / Plot in Sector 89 Faridabad,"₹ 67.2 Lac₹ 56,000/sq.ft.",120 sq.ft. (11 sq.m.) Plot Area,
3 BHK Independent Builder Floor in Dwarka Mor,"₹ 48.02 Lac₹ 4,850/sq.ft.",990 sq.ft. (92 sq.m.) Super built-up Area,3 BHK2 Baths
2 BHK Independent Builder Floor in Dwarka Mor,"₹ 27.01 Lac₹ 4,321/sq.ft.",585 sq.ft. (54 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Dwarka Mor,"₹ 27.01 Lac₹ 4,321/sq.ft.",585 sq.ft. (54 sq.m.) Super built-up Area,2 BHK2 Baths
1 BHK Independent Builder Floor in Dwarka Mor,"₹ 17 Lac₹ 4,197/sq.ft.",405 sq.ft. (38 sq.m.) Super built-up Area,1 BHK1 Bath
3 BHK Independent Builder Floor in Dwarka Mor,"₹ 45 Lac₹ 5,882/sq.ft.",765 sq.ft. (71 sq.m.) Super built-up Area,3 BHK2 Baths
2 BHK Independent Builder Floor in Dwarka Mor,"₹ 27 Lac₹ 4,615/sq.ft.",585 sq.ft. (54 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Greater Kailash II,"₹ 4.15 Cr₹ 18,444/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 5.9 Cr₹ 21,851/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Savitri Nagar,"₹ 55 Lac₹ 5,110/sq.ft.","1,076 sq.ft. (100 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Techzone 4 Greater Noida West,"₹ 46.06  - 65.12 Lac₹ 3,700/sq.ft.","1,245-1,760 sq.ft. (116-164 sq.m.) Super built-up Area",3 BHK
6 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 11 Cr₹ 16,742/sq.ft.","6,570 sq.ft. (610 sq.m.) Super built-up Area",6 BHK7 Baths
Residential land / Plot in DLF CITY PHASE 2,"₹ 4.51 Cr₹ 23,307/sq.ft.","1,935 sq.ft. (180 sq.m.) Plot Area",
Residential land / Plot in DLF CITY PHASE 2,"₹ 13.51 Cr₹ 22,010/sq.ft.","6,138 sq.ft. (570 sq.m.) Plot Area",
Residential land / Plot in DLF CITY PHASE 1,"₹ 9 Cr₹ 24,876/sq.ft.","3,618 sq.ft. (336 sq.m.) Plot Area",
2 BHK Residential Apartment in Sector-2 Gr Noida,"₹ 33.4  - 42.8 Lac₹ 4,000/sq.ft.","835-1,070 sq.ft. (78-99 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 61.56  - 75.14 Lac,"947-1,155 sq.ft. (88-107 sq.m.) Carpet Area",3 BHK
2 BHK Residential Apartment in Sector 1 Greater Noida West,₹ 44.92  - 51.61 Lac,691-793 sq.ft. (64-74 sq.m.) Carpet Area,2 BHK
4 BHK Residential Apartment in Sector-16 Gr Noida,"₹ 99.2 Lac₹ 4,000/sq.ft.","2,480 sq.ft. (230 sq.m.) Super built-up Area",4 BHK5 Baths
